experiment_series	assay_type	experiment	fastqs	fastqs_run_type	assembly	preferred_default_bed_narrowPeak	preferred_default_bed_narrowPeak_download_urls	preferred_default_bed_narrowPeak_md5sums	preferred_default_bed_narrowPeak_qc_metrics	unfiltered_alignments	unfiltered_alignments_download_urls	unfiltered_alignments_md5sums	unfiltered_alignments_qc_metrics	alignments	alignments_download_urls	alignments_md5sums	alignments_qc_metrics
NNNN	ATAC-seq	ENCSR153IUB	['ENCFF358DJF', 'ENCFF486DEL', 'ENCFF152YMI', 'ENCFF907CYH', 'ENCFF775RPE', 'ENCFF768DJT', 'ENCFF541CKK', 'ENCFF947CXZ', 'ENCFF471GPJ', 'ENCFF035BYD', 'ENCFF624KXD', 'ENCFF903FLU', 'ENCFF474APP', 'ENCFF288MEY', 'ENCFF052QHQ', 'ENCFF679KJU']	['paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended']	GRCh38	['ENCFF173XEU']	['https://www.encodeproject.org/files/ENCFF173XEU/@@download/ENCFF173XEU.bed.gz']	['1eb6036cde6f5a1ab74904b668658a42']	[{}]	['ENCFF374TKK']	['https://www.encodeproject.org/files/ENCFF374TKK/@@download/ENCFF374TKK.bam']	['f0aa1e3ad11024b0357c215540f6e4e4']	[{}]	['ENCFF428WFH']	['https://www.encodeproject.org/files/ENCFF428WFH/@@download/ENCFF428WFH.bam']	['af059aa04828d7b94147801adf13a429']	[{}]
NNNN	[]	ENCSR212LYK	['ENCFF343GLF', 'ENCFF407HGK', 'ENCFF696SRV', 'ENCFF756XPR', 'ENCFF188NZT', 'ENCFF244JWM', 'ENCFF302DRH', 'ENCFF937ZBB', 'ENCFF421FYS', 'ENCFF252TAF', 'ENCFF058WKN', 'ENCFF813PSR', 'ENCFF757EFG', 'ENCFF577URK', 'ENCFF232UGR', 'ENCFF276JHE']	['paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended']		[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
NNNN	[]	ENCSR925LGW	['ENCFF259DFF', 'ENCFF303GNG', 'ENCFF737ZWF', 'ENCFF541TEC', 'ENCFF339VRE', 'ENCFF718NGL', 'ENCFF019AYM', 'ENCFF372WCY', 'ENCFF489PHH', 'ENCFF559XDH', 'ENCFF721OYX', 'ENCFF171THW', 'ENCFF946JVB', 'ENCFF273QCV', 'ENCFF232MVP', 'ENCFF694SVU']	['paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended']		[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
NNNN	ATAC-seq	ENCSR530XBF	['ENCFF185YDO', 'ENCFF402JOW', 'ENCFF489GSO', 'ENCFF140UCF', 'ENCFF353RUU', 'ENCFF284EBK', 'ENCFF727NHL', 'ENCFF591JLW', 'ENCFF486NZB', 'ENCFF107DKE', 'ENCFF355KAB', 'ENCFF382HIA', 'ENCFF907XZC', 'ENCFF592LHN', 'ENCFF776DYL', 'ENCFF279EWE']	['paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended']	GRCh38	['ENCFF029YUG']	['https://www.encodeproject.org/files/ENCFF029YUG/@@download/ENCFF029YUG.bed.gz']	['4891fbf65921102204b7f7fa3d916eeb']	[{}]	['ENCFF152LFN']	['https://www.encodeproject.org/files/ENCFF152LFN/@@download/ENCFF152LFN.bam']	['72b4ab70bc959e1f00b0a66a854620f1']	[{}]	['ENCFF773JMT']	['https://www.encodeproject.org/files/ENCFF773JMT/@@download/ENCFF773JMT.bam']	['dfb32d5d0afdd894b0b060f5562cba57']	[{}]
NNNN	[]	ENCSR609GST	['ENCFF935EXE', 'ENCFF251FZX']	['paired-ended', 'paired-ended']		[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
NNNN	[]	ENCSR399OSE	['ENCFF167ZZE', 'ENCFF649HGI', 'ENCFF320YHM', 'ENCFF836RKU', 'ENCFF442VLO', 'ENCFF203MAS', 'ENCFF569XFA', 'ENCFF916NPA', 'ENCFF045TBD', 'ENCFF420NIJ', 'ENCFF201KWB', 'ENCFF166BYE', 'ENCFF865DZW', 'ENCFF147KAI', 'ENCFF825FPA', 'ENCFF085CVV']	['paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended']		[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
NNNN	ATAC-seq	ENCSR459PVP	['ENCFF746YCI', 'ENCFF103RQS', 'ENCFF610AKB', 'ENCFF452NDX']	['paired-ended', 'paired-ended', 'paired-ended', 'paired-ended']	GRCh38	['ENCFF951DOQ']	['https://www.encodeproject.org/files/ENCFF951DOQ/@@download/ENCFF951DOQ.bed.gz']	['2f0272b04c855d6fe58518d1b37372ac']	[{}]	['ENCFF171FJC', 'ENCFF363WOY']	['https://www.encodeproject.org/files/ENCFF171FJC/@@download/ENCFF171FJC.bam', 'https://www.encodeproject.org/files/ENCFF363WOY/@@download/ENCFF363WOY.bam']	['a96d89a9f1bb51bc129971975adf5820', 'b80eb83a9ecbb367240cf5c4fea97b2f']	[{}, {}]	['ENCFF742KHO', 'ENCFF243CTN']	['https://www.encodeproject.org/files/ENCFF742KHO/@@download/ENCFF742KHO.bam', 'https://www.encodeproject.org/files/ENCFF243CTN/@@download/ENCFF243CTN.bam']	['50468fd9db1249d85ff8164ba4acbf8f', 'e353e7fd0f5627b0cfa9133e919c68a1']	[{}, {}]
NNNN	[]	ENCSR414DVK	['ENCFF524RSU', 'ENCFF547CYZ']	['paired-ended', 'paired-ended']		[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
NNNN	ATAC-seq	ENCSR410DWV	['ENCFF301JGL', 'ENCFF333QQI', 'ENCFF325HTH', 'ENCFF565PHE']	['paired-ended', 'paired-ended', 'paired-ended', 'paired-ended']	GRCh38	['ENCFF610SOB']	['https://www.encodeproject.org/files/ENCFF610SOB/@@download/ENCFF610SOB.bed.gz']	['5aeeb06e63f3694bb627f9c4e98e3d06']	[{}]	['ENCFF505QJC', 'ENCFF516EXA']	['https://www.encodeproject.org/files/ENCFF505QJC/@@download/ENCFF505QJC.bam', 'https://www.encodeproject.org/files/ENCFF516EXA/@@download/ENCFF516EXA.bam']	['c813254ce74f9ee3a406cbd1bf69606e', 'adf65957556642cbbe84d4094f971578']	[{}, {}]	['ENCFF628IGU', 'ENCFF789NRH']	['https://www.encodeproject.org/files/ENCFF628IGU/@@download/ENCFF628IGU.bam', 'https://www.encodeproject.org/files/ENCFF789NRH/@@download/ENCFF789NRH.bam']	['8773732a05ceadc7f73815fd7f0084c8', '86e5ddb7a99f64bc9314c961cf045dd3']	[{}, {}]
NNNN	[]	ENCSR095QNB	['ENCFF411MVZ', 'ENCFF736ZWY', 'ENCFF195FRB', 'ENCFF196VAZ']	['paired-ended', 'paired-ended', 'paired-ended', 'paired-ended']		[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]	[]
NNNN	ATAC-seq	ENCSR120MOY	['ENCFF405ULF', 'ENCFF010BBC', 'ENCFF972NVG', 'ENCFF709OWM', 'ENCFF998KQQ', 'ENCFF375SRS', 'ENCFF277YFL', 'ENCFF151DCD', 'ENCFF790GIU', 'ENCFF748FJB', 'ENCFF590OFH', 'ENCFF865WTE', 'ENCFF408GVK', 'ENCFF282BZA', 'ENCFF593IXV', 'ENCFF272YIY']	['paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended', 'paired-ended']	GRCh38	['ENCFF830CUE']	['https://www.encodeproject.org/files/ENCFF830CUE/@@download/ENCFF830CUE.bed.gz']	['15cf9241933d7e34e16c3b02d31ee08b']	[{}]	['ENCFF755BLD']	['https://www.encodeproject.org/files/ENCFF755BLD/@@download/ENCFF755BLD.bam']	['1f6c555b1a1fed11bfd0daffb44719ca']	[{}]	['ENCFF865MFD']	['https://www.encodeproject.org/files/ENCFF865MFD/@@download/ENCFF865MFD.bam']	['d3b46aaf4462a336f942c2730df17b6d']	[{}]
